,State,County_Name,Party,Race_Code,Ethnic_Code,Total_Voters,Election_Date
374,NC,MECKLENBURG,UNA,W,NL,7,2022-07-26
375,NC,MECKLENBURG,UNA,W,NL,2,2022-07-26
376,NC,MECKLENBURG,UNA,W,NL,10,2022-07-26
377,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
378,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
379,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
380,NC,MECKLENBURG,DEM,B,NL,4,2022-07-26
381,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
382,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
383,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
384,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
385,NC,MECKLENBURG,DEM,B,UN,3,2022-07-26
386,NC,MECKLENBURG,DEM,O,NL,1,2022-07-26
387,NC,MECKLENBURG,DEM,U,NL,1,2022-07-26
388,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
389,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
390,NC,MECKLENBURG,REP,O,NL,1,2022-07-26
391,NC,MECKLENBURG,REP,W,NL,1,2022-07-26
392,NC,MECKLENBURG,UNA,B,HL,1,2022-07-26
393,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
394,NC,MECKLENBURG,UNA,B,UN,1,2022-07-26
395,NC,MECKLENBURG,UNA,B,UN,1,2022-07-26
396,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
397,NC,MECKLENBURG,DEM,B,HL,1,2022-07-26
398,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
399,NC,MECKLENBURG,DEM,B,NL,32,2022-07-26
400,NC,MECKLENBURG,DEM,B,NL,28,2022-07-26
401,NC,MECKLENBURG,DEM,B,NL,12,2022-07-26
402,NC,MECKLENBURG,DEM,B,NL,14,2022-07-26
403,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
404,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
405,NC,MECKLENBURG,DEM,B,UN,4,2022-07-26
406,NC,MECKLENBURG,DEM,B,UN,3,2022-07-26
407,NC,MECKLENBURG,DEM,O,NL,1,2022-07-26
408,NC,MECKLENBURG,DEM,W,HL,1,2022-07-26
409,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
410,NC,MECKLENBURG,REP,W,NL,1,2022-07-26
411,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
412,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
413,NC,MECKLENBURG,UNA,B,NL,3,2022-07-26
414,NC,MECKLENBURG,UNA,B,NL,3,2022-07-26
415,NC,MECKLENBURG,UNA,B,NL,5,2022-07-26
416,NC,MECKLENBURG,UNA,O,HL,1,2022-07-26
417,NC,MECKLENBURG,UNA,O,HL,1,2022-07-26
418,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
419,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
420,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
421,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
422,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
423,NC,MECKLENBURG,DEM,B,NL,3,2022-07-26
424,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
425,NC,MECKLENBURG,DEM,B,NL,68,2022-07-26
426,NC,MECKLENBURG,DEM,B,NL,6,2022-07-26
427,NC,MECKLENBURG,DEM,B,NL,41,2022-07-26
428,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
429,NC,MECKLENBURG,DEM,B,NL,26,2022-07-26
430,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
431,NC,MECKLENBURG,DEM,B,NL,24,2022-07-26
432,NC,MECKLENBURG,DEM,B,UN,3,2022-07-26
433,NC,MECKLENBURG,DEM,B,UN,2,2022-07-26
434,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
